Features,Program type,Statewide or region-specific?,Federal operating authority,Program start date,Waiver expiration date (if applicable),"If the program ended in 2018, indicate the end date",Populations enrolled: Low-income adults not covered under ACA Section VIII (excludes pregnant women and people with disabilities),Populations enrolled: Low-income adults covered under  ACA Section VIII (excludes pregnant women and people with disabilities),"Populations enrolled: Aged, Blind or Disabled Children or Adults",Populations enrolled: Non-Disabled Children (excludes children in foster care or receiving adoption assistance),Populations enrolled: Individuals receiving Limited Benefits (excludes partial duals),Populations enrolled: Full Duals,Populations enrolled: Partial Duals,Populations enrolled: Children with Special Health Care Needs,Populations enrolled: Native American/Alaskan Natives,Populations enrolled: Foster Care and Adoption Assistance Children,Populations enrolled: Enrollment choice period,Populations enrolled: Enrollment broker name (if applicable),Populations enrolled: Notes on enrollment choice period,Benefits covered: Inpatient hospital physical health,Benefits covered: Inpatient hospital behavioral health (MH and/or SUD),Benefits covered: Outpatient hospital physical health,Benefits covered: Outpatient hospital behavioral health (MH and/or SUD),Benefits covered: Partial hospitalization,Benefits covered: Physician,Benefits covered: Nurse practitioner,Benefits covered: Rural health clinics and FQHCs,Benefits covered: Clinic services,Benefits covered: Lab and x-ray,Benefits covered: Prescription drugs,Benefits covered: Prosthetic devices,Benefits covered: EPSDT,Benefits covered: Case management,Benefits covered: SSA Section 1945-authorized health home,Benefits covered: Health home care (services in home),Benefits covered: Family planning,Benefits covered: Dental services (medical/surgical),Benefits covered: Dental (preventative or corrective),Benefits covered: Personal care (state plan option),Benefits covered: HCBS waiver services,Benefits covered: Private duty nursing,Benefits covered: ICF-IDD,Benefits covered: Nursing facility services,Benefits covered: Hospice care,Benefits covered: Non-Emergency Medical Transportation,Benefits covered: Institution for Mental Disease inpatient treatment for people ages 21-64 defined by 42 CFR §438.6(e) as an 'in lieu of' benefit,"Benefits covered: Other (e.g., nurse midwife services, freestanding birth centers, podiatry, etc.)",Quality assurance and improvement: HEDIS data required?,Quality assurance and improvement: CAHPS data required?,Quality assurance and improvement: Accreditation required?,Quality assurance and improvement: Accrediting organization,Quality assurance and improvement: EQRO contractor name (if applicable),Performance incentives: Payment bonuses/differentials to reward plans,Performance incentives: Preferential auto-enrollment to reward plans,Performance incentives: Public reports comparing plan performance on key metrics,Performance incentives: Withholds tied to performance metrics,Performance incentives: MCOs/PHPs required or encouraged to pay providers for value/quality outcomes,Participating plans: Plans in Program,Notes: Program notes,state
PACE,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,11/01/2005 12:00:00 AM,,,,,Voluntary,,,Voluntary,,,Voluntary,,N/A,,90 Days,X,X,X,X,X,X,X,,X,X,X,X,X,X,,X,,X,X,X,,X,,X,,X,,,No,No,No,,,,,,,,PACE Organization of RI,,RI
"RIte Care, RHP and Medicaid Expansion",Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),08/01/1994 12:00:00 AM,12/31/2023 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,,Mandatory,Mandatory,Mandatory,Other,,90 Days,X,X,X,,X,X,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,X,X,,X,,No,Yes,Yes,NCQA,iPro,X,X,X,X,X,Neighborhood Health Plan of RI; UnitedHealthCare of Rhode Island Community Plan,,RI
Transportation Broker,Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,05/01/2014 12:00:00 AM,,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Exempt,,Pre-assigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,"Logisticare, Inc.",,RI
Rite Smiles Dental Program,Dental only (PAHP),Statewide,1115(a) (Medicaid demonstration waivers),05/01/2006 12:00:00 AM,12/31/2023 12:00:00 AM,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,Pre-assigned,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,Yes,Yes,Yes,NCQA,,,,X,,X,UnitedHealthCare Dental of Rhode Island,,RI
South Carolina Managed Care Organizations,Comprehensive MCO,Statewide,1932(a),09/01/1996 12:00:00 AM,,,Mandatory,,Mandatory,Mandatory,,,,Voluntary,Voluntary,Voluntary,Other,Maximus,90 days,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,,,,,,,,,,X,"Nurse midwife, birth centers, chiropractic services, therapy services (speech, hearing, language, etc.), vision",Yes,Yes,Yes,NCQA,The Carolina Center for Medical Excellence,X,X,X,X,X,Select Health of South Carolina; Absolute Total Care; BlueChoice Healthplan Medicaid; Molina Healthcare of South Carolina; WellCare of South Carolina,,RI
South Carolina Medical Homes Network,Primary Care Case Management (PCCM),Statewide,1932(a),08/01/2007 12:00:00 AM,,,Voluntary,,Voluntary,Voluntary,,,,Voluntary,Voluntary,Voluntary,N/A,Maximus,90 days,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,No,No,No,,,,,,,,South Carolina Solutions,,RI
South Carolina Program for All Inclusive Care for the Elderly,Program of All-inclusive Care for the Elderly (PACE),"Lexington County, Richland County, Orangeburg County, Greenville County,  Anderson County, Pickens County",PACE,01/01/1990 12:00:00 AM,,,,,Voluntary,,,Voluntary,,,Voluntary,Exempt,N/A,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,,X,,,X,,,,,No,No,No,,,,,,,,Palmetto Senior Care; The Methodist Oaks; Greenville Health System Senior Care,,RI
South Carolina Non-Emergency Medical Transportation,Non-Emergency Medical Transportation,Statewide,,05/01/2007 12:00:00 AM,,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Other,,Recipient chooses to use transportation services based on identifying the need to access service providers.,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,X,,X,,,Logisticare,,RI
PRIME,Primary Care Case Management (PCCM),Statewide,1932(a),10/02/2002 12:00:00 AM,,,,,Mandatory,Mandatory,Mandatory,,,,Mandatory,Exempt,N/A,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,No,No,No,,,,,,,,Multiple Primary Care Providers,,SD
TennCare II,Comprehensive MCO + MLTSS,Statewide,"1115(a) (Medicaid demonstration waivers),1945 Health Homes",07/01/2002 12:00:00 AM,06/30/2021 12:00:00 AM,,Mandatory,,Mandatory,Mandatory,,Mandatory,,Mandatory,Exempt,Voluntary,Pre-assigned,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,X,"Freestanding birth centers, podiatry services, and other services as indicated in Tennessee's approved Medicaid State Plan.",Yes,Yes,Yes,NCQA,Qsource,X,,X,X,X,Amerigroup; DentaQuest USA Insurance Company; Magellan Health Services; UnitedHealthcare Community Plan; Volunteer State Health Plan (BlueCare); Volunteer State Health Plan (TennCare Select),"Dental services (preventive, diagnostic, and treatment) are available to TennCare enrollees under age 21, and included within the EPSDT benefit. ICF-IDD benefits are reimbursed outside the TennCare II Demonstration, although recipients of the benefit are still enrolled in managed care for other benefits. Individuals eligible for coverage solely by virtue of the TennCare II Demonstration are not entitled to certain State Plan services but still receive a wide range of physical health services, behavioral health services, and long-term services and supports. Partial duals do not qualify for TennCare and, therefore, are not enrolled in a TennCare MCO. Most TennCare members are enrolled in more than one of the six plans identified. Each member is enrolled in one Managed Care Entity (MCE) for physical health services, behavioral health services, and long-term services and supports.  Adults (excluding PACE members) are also enrolled in a second MCE for pharmacy benefits.  Children are enrolled in one MCE for physical health services, behavioral health services, and long-term services and supports; a second MCE for pharmacy benefits; and a third MCE for dental benefits.",TN
Program of All-Inclusive Care for the Elderly,Program of All-inclusive Care for the Elderly (PACE),Hamilton County,PACE,04/07/1999 12:00:00 AM,,,,,Voluntary,,,Voluntary,,,Exempt,,N/A,,,X,X,X,X,X,X,X,,X,X,X,X,,X,,X,,X,X,X,X,X,,X,X,X,,"Podiatry, nutrition counseling, recreational therapy and social activities, spiritual care, transportation and escort to and from the PACE center, audiology and hearing aids, optometry and eyeglasses, and medical equipment and supplies are additional services covered by Tennessee's PACE program.",No,No,No,,,,,,,,Alexian Brothers Community Services,"A segment of Tennessee's PACE population qualifies for coverage solely by virtue of the TennCare II Demonstration (Tennessee's 1115 Medicaid demonstration waiver) and not via Tennessee's Medicaid State Plan.  TennCare II has a demonstration-only population referred to as the ""PACE Carryover Group"", which consists of individuals who were enrolled in a PACE program as of June 30, 2012, but who upon redetermination no longer qualify for enrollment due solely to the state's modification of its nursing facility level of care criteria. Individuals enroll in the PACE program voluntarily, but, once enrolled, are required to participate in managed care. Individuals who enroll in TennCare but opt not to participate in PACE are mandatorily enrolled in an MCO. PACE applicants and recipients must meet the nursing facility level of care criteria (i.e., be disabled) to qualify for the program.",TN
STAR Health,Comprehensive MCO,Statewide,1915(a),04/01/2008 12:00:00 AM,,,,,,,,Voluntary,,,Voluntary,Mandatory,Other,MAXIMUS,Members are auto-enrolled by the enrollment broker,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,,X,,,X,X,,"Diagnostic services, podiatrist services, medical supplies, non-prescription drugs, eye glasses, preventive services, nurse midwife services, and pediatric or family nurse practitioner services",Yes,Yes,"No, but accreditation considered in plan selection criteria","NCQA, URAC",Institute for Child Health Policy,X,,,,X,Superior HealthPlan,Enrollment in the STAR Health Program is voluntary for the following population categories: 1) Children and young adults in DFPS conservatorship; 2) Emancipated minors or members age 18-22 who voluntarily agree to continue in foster placement; 3) Young adults age 18-21 who have exited care and are participating in the Medicaid for Transitional Foster Care Youth (MTFCY) or Former Foster Care Children (FFCC) program.,TX
STAR,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),12/11/2011 12:00:00 AM,09/30/2022 12:00:00 AM,,Mandatory,,Mandatory,Mandatory,,,,Mandatory,Voluntary,Mandatory,15 days,MAXIMUS,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,,,,,X,,,,,,"Diagnostic services, podiatrist services, medical supplies, non-prescription drugs, eye glasses, preventive services, nurse midwife services, and pediatric or family nurse practitioner services",Yes,Yes,"No, but accreditation considered in plan selection criteria","NCQA, URAC",Institute for Child Health Policy,,,X,,X,"Amerigroup Texas, Inc.; Superior Health Plan, Inc.; El Paso  Health Plans, Inc., dba El Paso Health; Aetna Better Health of Texas, Inc.; Community First Health Plans, Inc.; UnitedHealthcare Insurance Company, dba United Healthcare Community Plan; Texas Children's Health Plan, Inc.; Molina Healthcare of Texas, Inc.; Driscoll Children's Health Plan; Parkland Community Health Plan, Inc.; Cook Children's Health Plan; Community First Health Plans, Inc.; Seton Health Plan, Inc., dba Dell Childrens Health Plan; Health Care Service Corp. (dba Blue Cross Blue Shield); SHA. LLC, dba FirstCare Health Plans; Scott &amp; White Health Plan",STAR population also includes pregnant women. Dental benefits covered by the STAR program are administered by Dental Maintenance Organizations.,TX
STAR Kids,Comprehensive MCO + MLTSS,Statewide,"1115(a) (Medicaid demonstration waivers),1915(b)/1915(c),1945 Health Homes",11/01/2016 12:00:00 AM,09/30/2022 12:00:00 AM,,,,Mandatory,,,Mandatory,,,Voluntary,Mandatory,15 days,MAXIMUS,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,"Diagnostic services, podiatrist services, medical supplies, non-prescription drugs, eye glasses, preventive services, nurse midwife services, and pediatric or family nurse practitioner services",Yes,Yes,"No, but accreditation considered in plan selection criteria","NCQA, URAC",Institute for Child Health Policy,,,X,,X,"Amerigroup Insurance Company; Superior HealthPlan, Inc.; Aetna Better Health of Texas Inc.; Community First Health Plans, Inc.; UnitedHealthcare Insurance Company, dba United Healthcare Community Plan; Texas Children’s Health Plan, Inc.; Driscoll Children’s Health Plan; Cook Children's Health Plan; Health Care Service Corporation DBA Blue Cross and Blue Shield of Texas (BCBSTX); Children’s Medical Center Health Plan",1115 and 1915 (c) waivers are applied to this program.,TX
STAR+PLUS,Comprehensive MCO + MLTSS,Statewide,1115(a) (Medicaid demonstration waivers),12/11/2011 12:00:00 AM,09/30/2022 12:00:00 AM,,,,Mandatory,,,Mandatory,,,Voluntary,,15 days,MAXIMUS,,X,X,X,X,,X,X,X,X,X,X,X,,X,,,X,X,,X,X,,,X,X,X,,"Diagnostic services, podiatrist services, medical supplies, non-prescription drugs, eye glasses, preventive services, nurse midwife services, and pediatric or family nurse practitioner services",Yes,Yes,"No, but accreditation considered in plan selection criteria","NCQA, URAC",Institute for Child Health Policy,X,,X,X,X,"Amerigroup Texas, Inc.; Superior HealthPlan, Inc; UnitedHealthcare Insurance Company, dba United Healthcare Community Plan; Molina Healthcare of Texas, Inc.; HealthSpring Life &amp; Health Insurance Co., Inc.",,TX
Children's Medicaid Dental Services,Dental only (PAHP),Statewide,1115(a) (Medicaid demonstration waivers),12/11/2011 12:00:00 AM,09/30/2022 12:00:00 AM,,,,Mandatory,Mandatory,,,,,Voluntary,Exempt,15 days,MAXIMUS,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,Yes,Yes,"No, but accreditation considered in plan selection criteria","NCQA, URAC",Institute for Child Health Policy,X,,,,X,"MCNA Insurance Company; DentaQuest USA Insurance Company, Inc.",,TX
PACE,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,06/01/2001 12:00:00 AM,,,,,Voluntary,,,Voluntary,Voluntary,,Voluntary,Exempt,N/A,,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,X,X,X,X,X,,X,X,X,,"Adult day care/adult foster care, nursing, restorative therapies: physical, occupational, and recreational therapies, meals and nutrition counseling, social work/social services, medical supplies/adaptive aids and minor home modifications, transportation to and from medical appointments, medical specialists, such as audiology, dentistry, optometry, podiatry, speech therapy, respite care, Medical care provided by a PACE physician familiar with the history, needs, and preferences of each participant",No,No,No,,,,,,,,Bienvivir Senior Health Services (El Paso); Silver Star Health Network (Lubbock); Werner (Amarillo),,TX
Medical Transportation Program,Non-Emergency Medical Transportation,Statewide,1915(b),09/01/2014 12:00:00 AM,03/31/2022 12:00:00 AM,,Voluntary,,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,,Pre-assigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,American Medical Response; LogistiCare; Medical Transportation Management; Project Armistad,"Based on the client's county of residence, the client is assigned to the single broker in the region.",TX
Choice of Health Care Delivery,Comprehensive MCO,Statewide,1915(b),03/23/1983 12:00:00 AM,06/30/2022 12:00:00 AM,,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Varies,Mandatory,Mandatory,Other,,"15-45 days. Enrollment choice date will vary depending on when the enrollment file transaction takes place. In addition, the enrollee will be able to change to another plan within the first 90 days of enrollment in the plan.",X,,X,,X,X,X,X,X,X,X,X,X,X,,X,X,,,,,X,,,X,,,"Vision, podiatry, dialysis, DME, inpatient medical detox, nurse midwife services, freestanding birth centers, ambulatory surgical centers",Yes,Yes,No,,Health Services Advisory Group,,,,,,Healthy U; Molina; Health Choice; SelectHealth,"Enrollment is mandatory in the following 13 counties: Box Elder, Cache, Davis, Iron, Morgan, Rich, Salt Lake, Summit, Tooele, Utah, Wasatch, Washington, and Weber. Enrollment is voluntary in all other counties.",UT
Transportation,Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,07/12/2001 12:00:00 AM,,,,,Mandatory,Mandatory,,Mandatory,Mandatory,Mandatory,Voluntary,Mandatory,Pre-assigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,Logisticare Solutions,"Specific Native American populations are exempted from enrollment with the contracted transportation provider by race, and zip code and/or county code. However, they are provided transportation through other means. Pregnant women are also covered through this program.",UT
Global Commitment to Health Demonstration,Comprehensive MCO + MLTSS,Statewide,"1115(a) (Medicaid demonstration waivers),1937 Alt Benefit Plan,1945 Health Homes",10/01/2005 12:00:00 AM,12/31/2021 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,Pre-assigned,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,"Nurse midwives, chiropractic, PT/OT/SP, tobacco cessation counseling, optometrist services, high tech nursing services, optician services, naturopathic physician services, and behavioral health services",Yes,No,No,,Health Services Advisory Group,,,,X,,Department of Vermont Health Access,"Health homes provide coordinated, systemic, whole-person care to VT Medicaid beneficiaries who receive medication assisted therapy (MAT) for opiod dependency.",VT
CCC Plus,Comprehensive MCO + MLTSS,Statewide,1915(b)/1915(c),08/01/2017 12:00:00 AM,07/01/2022 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,,Mandatory,Mandatory,Mandatory,Pre-assigned,Maximus,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,X,X,X,,,Yes,Yes,Yes,NCQA,HSAG,X,,,X,X,Aetna Better Health for Virginia; Anthem HealthKeepers; Magellan Complete Care of Virginia; Optima Health; United Health Care; Virginia Premier,,VA
Medallion 3.0,Comprehensive MCO,Statewide,1915(b),07/01/2017 12:00:00 AM,06/30/2019 12:00:00 AM,,Mandatory,,,Mandatory,,,,Mandatory,Exempt,Mandatory,Pre-assigned,Maximus,,X,X,X,X,X,X,X,X,X,X,X,,X,X,,X,X,X,,X,,,,,,,,,Yes,Yes,Yes,NCQA,HSAG,X,,X,X,X,Virginia Premier Health Plan; Anthem; Intotal Health; Kaiser; Optima Health Care; Coventry Health Plan,,VA
DMAS PACE,Program of All-inclusive Care for the Elderly (PACE),22901  22902  22903  22904  22911  22920  22922  22923  22931  22932  22935  22936  22937  22938  22940  22942  22943  22946  22947  22949  22958  22959  22963  22964  22967  22968  22969  22971  22973  22974  22976  23022  23024  23055  23065  23084  23093  23117  24464  24562  24590  23002  23004  23027  23040  23083  23123  23824  23894  23901  23909  23921  23922  22901  22902  22903  22904  22911  22920  22922  22923  22931  22932  22935  22936  22937  22938  22940  22942  22943  22946  22947  22949  22958  22959  22963  22964  22967  22968  22969  22971  22973  22974  22976  23022  23024  23055  23065  23084  23093  23117  24464  24562  24590  23002  23004  23027  23040  23083  23123  23824  23894  23901  23909  23921  23922  23923  23930  23934  23936  23937  23939  23941  23942  23943  23947  23952  23954  23955  23958  23959  23960  23963  23966  23974  23976  24599  24501  24502  24503  24504  24521  24522  24523  24536  24538  24550  24551  24553  24554  24556  24570  24572  24574  24588  24593  24054  24055  24069  24078  24082  24089  24102  24104  24112  24137  24139  24146  24148  24161  24165  24168  24517  24527  24528  24530  24531  24540  24541  24549  24557  24563  24565  24566  24569  24571  24586  24594  24133  24176  24543  24576  24011  24012  24013  24014  24015  24016  24017  24018  24019  24020  24059  24060  24064  24065  24066  24067  24070  24073  24077  24079  24083  24087  24090  24092  24095  24101  24121  24122  24138  24149  24151  24153  24162  24174  24175  24176  24179  24184  23112  23113  23114  23120  23124  23129  23139  23140  23141  23146  23173  23181  23221  23224  23225  23226  23227  23228  23231  23232  23234  23235  23236  23237  23238  23240  23241  23249  23260  23261  23269  23273  23274  23276  23278  23279  23282  23284  23285  23286  23289  23290  23291  23293  23295  22546  23005  23009  23011  23015  23030  23039  23047  23058  23059  23060  23069  23075  23086  23089  23102  23103  23106  23111  23116  23150  23162  23192  23218  23219  23220  23222  23223  23229  23230  23233  23242  23250  23255  23288  23801  23803  23804  23805  23806  23830  23831  23832  23833  23834  23836  23838  23840  23841  23842  23850  23860  23875  23882  23885  23601  23605  23607  23651  23661  23662  23663  23664  23665  23666  23669  23602  23603  23604  23606  23608  23692  23693  23696  23320  23321  23322  23323  23324  23325  23432  23433  23434  23435  23436  23437  23438  23701  23702  23703  23704  23707  23709  23314  23315  23430  23487  23846  23851  23883  23898  23451  23452  23453  23454  23455  23456  23457  23459  23460  23461  23462  23463  23464  23502  23503  23504  23505  23507  23508  23509  23510  23511  23513  23517  23518  23521  23523  23529  24215  24216  24218  24219  24221  24230  24243  24244  24245  24246  24248  24250  24251  24258  24263  24265  24271  24273  24277  24279  24281  24282  24283  24290  24293  24217  24220  24224  24225  24226  24228  24237  24239  24256  24260  24266  24269  24272  24280  24377  24601  24602  24603  24604  24605  24606  24607  24608  24609  24612  24613  24614  24619  24620  24622  24624  24627  24628  24630  24631  24634  24635  24637  24639  24640  24641  24646  24647  24649  24651  24656  24657  24658,PACE,11/01/2007 12:00:00 AM,,,,,,,,Voluntary,Voluntary,,Voluntary,,N/A,,,X,X,,,,X,X,,X,X,X,X,,X,,X,,X,,X,,,,X,X,X,,,No,No,No,JCAHO,,,,,,,Innovage; Mountain Empire/All Care PACE; INOVA PACE; Riverside PACE; Innovage PACE; Centra PACE; Sentara PACE,,VA
Washington State Integrated Community Mental Health Program (ICMH),Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1115(a) (Medicaid demonstration waivers),10/01/2014 12:00:00 AM,12/31/2022 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,Mandatory,Voluntary,Mandatory,Pre-assigned,Regional Support Networks,,,,,X,X,,,X,X,,,,X,X,,,,,,,,,,,,X,,,No,No,Yes,Regional support network's contract with accredited community mental health agencies.,Qualis Health,,,,,,BHO,Effective 07/01/2017: The AI/AN population was removed from mandatory enrollment in behavioral health managed care. That meant the majority of AI/AN individuals were transferred to the FFS system for behavioral health. That FFS system is not part of the waiver. The 1115 waiver (an amendment to the larger 1115) that allows us to use federal funds in SUD IMDs was effective 7/1/2018.,WA
NEMT,Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,10/01/2008 12:00:00 AM,,,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,X,,,,,Multiple Transportation Brokers,Brokers are based on county. NEMT is provided for anyone covered on Medicaid that meet the enrollment criteria.,WA
Apple Health,Comprehensive MCO,Statewide,1932(a),07/01/1994 12:00:00 AM,,,,Mandatory,Mandatory,Mandatory,,,,Mandatory,Voluntary,Voluntary,Other,,Enrollment open continuously,X,,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,,,X,,X,X,,,,Yes,Yes,Yes,NCQA,Qualis,,,,,,Amerigroup; Community Health Plan of Washington; Coordinated Care of Washington; Molina Health Care of Washington; United Health Care,Please note managed care plans only cover rehabilitation care in nursing home facilities. Custodial care is is covered under FFS.,WA
Healthy Options - Blind Disabled,Comprehensive MCO,Statewide,1932(a),07/01/2012 12:00:00 AM,,,,,Mandatory,,,,,Mandatory,Voluntary,Voluntary,Other,,Enrollment open continuously,X,,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,,,X,,X,X,,,,Yes,Yes,Yes,NCQA,Qualis,,,,,,Amerigroup; Community Health Plan of WA; Coordinated Care of Washington; Molina Health Care; United Health Care,Please note managed care plans only cover rehabilitation care in nursing home facilities. Custodial care is is covered under FFS.,WA
Behavioral Health Services Only (BHSO),Behavioral Health Organization (BHO) only (PIHP and/or PAHP),"Chelan, Clark, Douglas, Grant, and Skamania Counties",1915(b),04/01/2016 12:00:00 AM,06/30/2022 12:00:00 AM,,,Mandatory,Mandatory,Mandatory,,Mandatory,,Mandatory,Voluntary,Exempt,Other,,Enrollment open continuously,,X,,X,,,,,,,,,,X,,,,,,,,,,,,,,,Yes,No,Yes,NCQA,Qualis,,,,,,Amerigroup; Coordinated Care of Washington; Molina Health Care; Community Health Care Plan of WA,,WA
PCCM,Primary Care Case Management (PCCM),"Clallam, Grays Harbor, King, Snohomish, Whatcom, Okanogan, Ferry, Stevens, Lincoln, Spokane, Benton and Yakima Counties",1932(a),07/01/1995 12:00:00 AM,,,,Voluntary,Voluntary,,,,,Voluntary,Voluntary,Voluntary,N/A,,Enrollment open continuously,X,,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,,,X,,X,X,,,,No,No,No,,,,,,,,Multiple Primary Care Providers,"IHS administers this program for Yakima, Spokane, and Confederated Tribes of the Colville Reservation. There are two FQHCs: Seattle Indian Health Board and Native Project.  The tribal clinics are as follows: Lower Elwha Klallam, Lummi Nation, Nooksack Tribe, Tulalip Nation, Confederated Tribes of the Colville Reservation (non-IHS managed facility), Puyallup Tribe, Quileute Tribe, Quinault Indian Nation and Port Gamble S'Klallam Tribe.",WA
Fully Integrated Managed Care (FIMC),Comprehensive MCO,"Chelan, Clark, Douglas, Grant, and Skamania Counties","1932(a),1945 Health Homes",04/01/2016 12:00:00 AM,,,,Mandatory,Mandatory,Mandatory,,,,Mandatory,Voluntary,Exempt,Other,,Enrollment open continuously,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,X,X,,X,,Yes,Yes,Yes,NCQA,Qualis,,,,,,Amerigroup; Coordinated Care of Washington; Community Health Plan of Washington; Molina Health Care,Please note managed care plans only cover rehabilitation care in nursing home facilities. Custodial care is is covered under FFS.,WA
PACE,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,01/01/1997 12:00:00 AM,,,,,Voluntary,,,Voluntary,,,Voluntary,Exempt,N/A,,,X,,X,X,X,,X,X,X,X,X,,,X,,X,,X,X,X,X,,,X,,X,,Comfort Care and Podiatry,No,No,No,,,,,,,,Providence Elder Place,,WA
Apple Health/Healthy Options Health Home Program,Comprehensive MCO,Statewide,1945 Health Homes,07/01/2013 12:00:00 AM,,,Voluntary,Voluntary,Voluntary,,,Voluntary,,Voluntary,Voluntary,Exempt,Pre-assigned,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,No,No,No,,,,,,,,Multiple Sites,"Washington delivers the optional Health Home Medicaid/Medical Benefit both in the fee-for-service system and through MCOs. For individuals in Apple Health comprehensive MCOs, the MCOs are at risk for health home services plus a broad array of benefits including inpatient, outpatient, physician services, pharmacy, etc. For individuals in PCCMs, the MCOs administer health homes services separate from the PCCM program.",WA
Mountain Health Trust,Comprehensive MCO,Statewide,1915(b),09/01/1996 12:00:00 AM,06/30/2019 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,,,,Mandatory,Mandatory,Exempt,Other,MAXIMUS,45-60 days depending on packet receival date,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,,,X,,,X,,,,Yes,Yes,Yes,NCQA,Qlarant (formerly Delmarva),,,X,,X,Aetna Better Health of WV; The Health Plan; Unicare; West Virginia Family Health,,WV
BadgerCare Plus,Comprehensive MCO,Statewide,1932(a),02/01/2008 12:00:00 AM,,,Mandatory,Mandatory,,Mandatory,,Voluntary,,Voluntary,Voluntary,Exempt,Other,MAXIMUS,90 days open enrollment period,X,X,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,X,X,,X,,X,X,,X,"Prosthetic devices, nurse midwife services, podiatry, chiropractic (varies by plan), and dental (varies by geographic region)",Yes,No,No,,"MetaStar, Inc.",X,,X,X,X,Anthem Blue Cross Blue Shield; Children’s Community Health Plan; Dean Health Plan; Group Health Cooperative Of Eau Claire; Group Health Cooperative Of South Central WI; Independent Care (iCare); MHS of Wisconsin; MercyCare Insurance Company; Molina Health Plan; Network Health Plan; Physicians Plus Health Plan; Security Health Plan; Trilogy Health Insurance; UnitedHealthcare Community Plan; Quartz,,WI
